name,scraped_time,on_sale,discount,original_price,sale_price,average_rating,scores,review_texts,Brand,SKU,Battery Capacity,Screen Size (inches),Build Type,Camera Front (Megapixels),Camera Back (Megapixels),Number Of Cameras,Display Protection,Model Year,Network Connections,Fast Charging,Wireless Charging,Number of SIM Slots,PPI,Charger Type,Flash,Bluetooth Support,Wi-Fi,SIM Type,Removable Battery,GPS,FM Radio,NFC,Fingerprint Sensor,Expandable Storage,Memory Card Slot Type,Video Resolution,Operating System,Notchted Display,Model,Headphone Jack,Display Type,Processor Type,Refresh Rate,Resolution,Warranty Policy EN
Oneplus Nord CE 3 Lite 5G ,16/05/23,True,-1%,45999.0,45499.0,0.0,"[0, 0, 0, 0, 0]",,OnePlus,127490045_NP-1034547172,5000 - 5999 mAh,6.6 - 7 Inch,Ceramic,16 MP,108MP+2MP+2MP,4,Corning Gorilla Glass 5,2023,"4G,3G,2G,5G",67w,No,2,,,,,,,,,,,,,,,,,,,,,,,
realme C30 ,16/05/23,False,,13499.0,13499.0,0.0,"[0, 0, 0, 0, 0]",,RealMe,118433387_NP-1032436850,4000 - 4999 mAh,6.1 - 6.5 Inch,Not Specified,5mp,8mp,2,Not Specified,2022,4G,Fast charging,No,3 and up,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A04  I 6,16/05/23,False,,14999.0,14999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,123247895_NP-1033481439,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5mp,50mp,3,Corning Gorilla Glass 3,2022,"4G,3G,2G",no,No,2,,,,,,,,,,,,,,,,,,,,,,,
micromax 2B ,16/05/23,True,-12%,19990.0,17499.0,0.0,"[0, 0, 0, 0, 0]",,Micromax,123194568_NP-1033472472,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5mp,13mp,3,Not Specified,2022,"4G,3G,2G",no 10w,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A53 5G ,16/05/23,False,,57499.0,57499.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,123241579_NP-1033483178,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,32mp,64mp,4,Corning Gorilla Glass 5,2022,"4G,3G,2G,5G",yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A53 5G ,16/05/23,False,,57499.0,57499.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,123855448_NP-1033623163,4000 - 4999 mAh,6.1 - 6.5 Inch,Not Specified,32,64,4,Not Specified,2022,5G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Kivi I3S,16/05/23,True,-11%,11000.0,9800.0,0.0,"[0, 0, 0, 0, 0]",,Kivi,127294527_NP-1034511479,4000 - 4999 mAh,6.1 - 6.5 Inch,Plastic,5,8,2,Not Specified,Not Specified,"4G,GSM,3G,2G",No,No,2,,,,,,,,,,,,,,,,,,,,,,,
Oneplus 11 5G ,16/05/23,False,,134999.0,134999.0,0.0,"[0, 0, 0, 0, 0]",,OnePlus,125924065_NP-1034125938,5000 - 5999 mAh,6.6 - 7 Inch,Glass,16,50+48+32,4,Gorilla Glass Victus,2023,"4G,GSM,5G",100W Dart Charging,No,2,Above 500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,Yes,On-Screen,No,,2160p,Android,Yes,ONEPLUS 11 5G,No,AMOLED,Octa-core,120 Hz,"HD,Full HD,Ultra HD,4K",
Samsung Galaxy A33 5G ,16/05/23,False,,42999.0,42999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,115994078_NP-1032954987,5000 - 5999 mAh,6.1 - 6.5 Inch,Ceramic,13,48,5,Not Specified,2022,5G,yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Nokia G20 ,16/05/23,False,,19799.0,19799.0,0.0,"[0, 0, 0, 0, 0]",,Nokia,112904059_NP-1030641913,5000 - 5999 mAh,6.1 - 6.5 Inch,Not Specified,8,48,4,Not Specified,Not Specified,4G,N/A,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Oppo A57 ,16/05/23,False,,23500.0,23500.0,0.0,"[0, 0, 0, 0, 0]",,No Brand,125348263_NP-1034023444,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,8,13,3,Glass,2022,GSM,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A53 5G ,16/05/23,True,-1%,57499.0,56924.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,120043657_NP-1033194195,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,32,48,5,Corning Gorilla Glass 5,2022,"4G,GSM,5G",25W,No,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,Yes,On-Screen,Yes,Shared,2160p,Android,Yes,SAMSUNG A53 5G,No,Super AMOLED,Octa-core,120 Hz,"HD,Full HD,Ultra HD,4K",
Oppo A76 6GB Ram 128GB Rom 5000mah Battery with 33W Fast Charging,16/05/23,True,-0.3%,29999.0,29899.0,0.0,"[0, 0, 0, 0, 0]",,OPPO,123181765_NP-1033468497,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,8mp,13mp,3,Corning Gorilla Glass 5,2023,"4G,3G,2G",yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Oppo A16 4 GB RAM  64 GB ROM,16/05/23,False,,22999.0,22999.0,0.0,"[0, 0, 0, 0, 0]",,OPPO,115516620_NP-1031577654,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,8mp,13+2+2mp,4,Corning Gorilla Glass 4,2021,"4G,3G,2G",yes,No,2,300-400 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Side Mounted,Yes,Shared,1080p,Android 11,Not Specified,oppo a16,Yes,IPS LCD,Octa-core,60 Hz,Full HD,
Black  Samsung Galaxy A04 ,16/05/23,False,,14999.0,14999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,127285274_NP-1034491833,Not Specified,6.1 - 6.5 Inch,Not Specified,Not Specified,Not Specified,3,Corning Gorilla Glass,2022,Not Specified,Yes,No,2,,,,,,,,,,,,,,,,,,,,Not Specified,,,
Samsung Galaxy A24 LTE ,16/05/23,False,,28999.0,28999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,127546892_NP-1034587342,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,13MP,50MP+5MP+2MP,4,Glass,2023,"4G,GSM,3G,2G,3.5G - HSDPA",25W Super Fast Charging,No,2,300-400 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,Yes,Side Mounted,Yes,Dedicated,1080p,Android,Yes,SAMSUNG A24 LTE,Yes,Super AMOLED,Octa-core,90 Hz,"HD,Full HD,Ultra HD,4K",
Samsung Galaxy A53 8GB Ram 128GB Rom 64MP Quad Camera 32mp Front Camera 5000mah 25W Fast Charging,16/05/23,True,-0.3%,57500.0,57300.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,115002299_NP-1032745446,5000 - 5999 mAh,6.1 - 6.5 Inch,Not Specified,32mp,64mp Quad Camera,5,Corning Gorilla Glass 5,Not Specified,"4G,5G",25w,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy M33 5G ,16/05/23,False,,34999.0,34999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,125618799_NP-1034070437,6000 - 6999 mAh,6.6 - 7 Inch,Plastic,8,50,5,Glass,Not Specified,"4G,GSM,5G",25W,No,2,300-400 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Side Mounted,Yes,Dedicated,1080p,Android,Yes,SAMSUNG M33 5G,Yes,TFT LCD,Octa-core,60 Hz,"HD,Full HD",
Oneplus 10 Pro 5G ,16/05/23,True,-0.7%,134999.0,133999.0,0.0,"[0, 0, 0, 0, 0]",,OnePlus,123766736_NP-1033607316,5000 - 5999 mAh,6.6 - 7 Inch,Glass,32mp,50mp,4,Gorilla Glass Victus,2022,"4G,3G,2G,5G",yes 80w,Yes,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung A33 5G ,16/05/23,False,,42999.0,42999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,118949921_NP-1032574427,4000 - 4999 mAh,6.1 - 6.5 Inch,Plastic,13,48,5,Corning Gorilla Glass 2,2022,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Oneplus 10 Pro 5G Ram,16/05/23,True,-7%,134999.0,124999.0,0.0,"[0, 0, 0, 0, 0]",,OnePlus,114241270_NP-1031037015,5000 - 5999 mAh,6.6 - 7 Inch,Glass,32 MP,50 + 48 + 8 MP,4,Gorilla Glass Victus,2022,"4G,3G,2G,5G",Yes 80W,Yes,2,,,,,,,,,,,On-Screen,,,,,,,,,,,,
Infinix Hot 12 Play 4GB,16/05/23,False,,18299.0,18299.0,0.0,"[0, 0, 0, 0, 0]",,Infinix,119520300_NP-1032715167,6000 - 6999 mAh,6.6 - 7 Inch,Plastic,8,13,2,Not Specified,2022,4G,10W,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A53 5G ,16/05/23,False,,57499.0,57499.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,126335534_NP-1034241084,4000 - 4999 mAh,6.1 - 6.5 Inch,Not Specified,32MP,64MP,4,Not Specified,2022,5G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
OnePlus 10T 5G ,16/05/23,False,,112000.0,112000.0,0.0,"[0, 0, 0, 0, 0]",,OnePlus,126671779_NP-1034332411,4000 - 4999 mAh,6.6 - 7 Inch,Glass,16,50+8+2,4,Corning Gorilla Glass 5,2022,5G,Yes,Yes,2,,,,,,,,,,,,,,,,,,,,,,,
OPPO A77 ,16/05/23,False,,25999.0,25999.0,0.0,"[0, 0, 0, 0, 0]",,OPPO,117902458_NP-1032327685,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,8,50,3,Glass,2022,"4G,GSM,3G",33W,No,2,200-300 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,Yes,Side Mounted,Yes,Dedicated,1080p,Android,Yes,CPH2385,Yes,IPS LCD,Octa-core,60 Hz,"HD,Full HD,4K",
Samsung Galaxy A14 LTE ,16/05/23,False,,20999.0,20999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,126592040_NP-1034313446,4000 - 4999 mAh,6.6 - 7 Inch,Not Specified,13MP,50MP,3,Not Specified,2023,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A23 ,16/05/23,False,,29999.0,29999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,123843779_NP-1033617894,4000 - 4999 mAh,6.6 - 7 Inch,Not Specified,8,50,4,Not Specified,2022,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
OPPO A17K ,16/05/23,False,,16999.0,16999.0,0.0,"[0, 0, 0, 0, 0]",,OPPO,123981579_NP-1033658802,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5,8,2,Glass,2023,"4G,GSM,3G",yes,No,2,200-300 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Side Mounted,Yes,Dedicated,1080p,Android,Yes,A17K,Yes,IPS LCD,Octa-core,60 Hz,"HD,Full HD",
Samsung Galaxy A53 6,16/05/23,True,-0.9%,57499.0,56999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,118861886_NP-1033453308,5000 - 5999 mAh,6.1 - 6.5 Inch,Glass,32,64+12+5+5,4,Corning Gorilla Glass 5,2022,"4G,GSM,3G,5G",YES,No,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,No,On-Screen,Yes,Dedicated,4K,Android 11,Yes,Sansung A53,No,Super AMOLED,Octa-core,Above 90 Hz,"HD,Full HD,4K",
ZTE BLADE A51,16/05/23,False,,13499.0,13499.0,0.0,"[0, 0, 0, 0, 0]",,ZTE,108821106_NP-1029406040,3000 - 3999 mAh,6.1 - 6.5 Inch,Plastic,5 MP,13 MP,3,Plastic,2020,GSM,No,No,2,,,,,,,,,,,,,,Full HD,Android 9 (Pie),No,A51,Yes,IPS LCD,Not Specified,,HD,
ZTE BLADE A51 LITE  2,16/05/23,False,,11900.0,11900.0,0.0,"[0, 0, 0, 0, 0]",,ZTE,113780008_NP-1034079639,3000 - 3999 mAh,6.1 - 6.5 Inch,Plastic,8,13,3,Plastic,2021,"4G,GSM,3G,2G",no,No,2,,Micro USB,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Side Mounted,Yes,Dedicated,1080p,Android,No,BLADE A51 LITE,Yes,TFT LCD,Octa-core,60 Hz,"HD,Full HD",
Samsung Galaxy A51 ,16/05/23,False,,39999.0,39999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,104136448_NP-1024968794,Not Specified,6.1 - 6.5 Inch,Plastic,,,5,Glass,2020,,Yes,No,,,,,,,,,,,,,,,Not Specified,Android 10,,,,,Not Specified,,,
Samsung Galaxy A21S ,16/05/23,False,,24999.0,24999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,104134484_NP-1024958820,Not Specified,6.1 - 6.5 Inch,Plastic,,,5,Glass,2020,,Yes,No,,,,,,,,,,,,,,,HD,Android,,,,,Not Specified,,,
Vivo V2120 ,16/05/23,True,-5%,19999.0,18999.0,0.0,"[0, 0, 0, 0, 0]",,Vivo,110086897_NP-1029810280,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,8 MP,13 MP,3,Glasstic,2021,GSM,Yes,No,2,200-300 PPI,,,,,,,,,,,,,Full HD,Android,Yes,V2120,Yes,IPS LCD,Helio P35,,HD,
OnePlus 10T 5G ,16/05/23,True,-5%,114999.0,109200.0,0.0,"[0, 0, 0, 0, 0]",,OnePlus,123481715_NP-1033557241,4000 - 4999 mAh,6.6 - 7 Inch,Glass,16MP,50MP+8MP2MP,4,Corning Gorilla Glass 5,2022,"4G,3G,2G,3.5G - HSDPA,5G",150W,Yes,2,,Type-C,Yes,Yes,Yes,Nano,No,,,Yes,,No,,4K,Android,,CPH2415,No,Super AMOLED,Octa-core,120 Hz,"HD,Full HD",
Samsung Galaxy M11 Rear Triple Camera 13MP,16/05/23,False,,18999.0,18999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,104136453_NP-1024960835,Not Specified,6.1 - 6.5 Inch,Plastic,,,4,Glass,2020,,Yes,No,,,,,,,,,,,,,,,HD,Android 10,,,,,Not Specified,,,
Samsung A03 Core ,16/05/23,False,,12499.0,12499.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,118949913_NP-1032577277,4000 - 4999 mAh,6.1 - 6.5 Inch,Plastic,5,8,2,Corning Gorilla Glass 2,2022,4G,No,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy M33 5G ,16/05/23,False,,33999.0,33999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,120041838_NP-1032807137,6000 - 6999 mAh,6.6 - 7 Inch,Plastic,8,50,5,Glass,Not Specified,"4G,GSM,5G",25W,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A54 5G ,16/05/23,False,,59999.0,59999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,126346907_NP-1034232248,4000 - 4999 mAh,6.1 - 6.5 Inch,Not Specified,32MP,50MP,3,Not Specified,2023,5G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Narzo 50I Prime ,16/05/23,False,,15799.0,15799.0,0.0,"[0, 0, 0, 0, 0]",,narzo by realme,126143102_NP-1034165023,4000 - 4999 mAh,6.1 - 6.5 Inch,Plastic,5,8,2,Glass,2021,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
OnePlus Nord 2 5G ,16/05/23,False,,59990.0,59990.0,0.0,"[0, 0, 0, 0, 0]",,OnePlus,119515750_NP-1032715146,4000 - 4999 mAh,6.1 - 6.5 Inch,Glass,50,32,2,Corning Gorilla Glass 5,2021,"GSM,3G,2G,5G",65W,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A54 5G ,16/05/23,False,,56999.0,56999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,126581727_NP-1034311289,4000 - 4999 mAh,6.1 - 6.5 Inch,Not Specified,32MP,50MP,3,Not Specified,2023,5G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Infinix Smart 6 HD ,16/05/23,False,,11999.0,11999.0,0.0,"[0, 0, 0, 0, 0]",,Infinix,125348264_NP-1034020825,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,5,8,2,Glass,2022,4G,No,No,2,,,,,,,,,,,,,,,,,,,,,,,
Itel A17 1GB RAM 16GB ROM 5,16/05/23,False,,8000.0,8000.0,0.0,"[0, 0, 0, 0, 0]",,No Brand,125348267_NP-1034024256,2000 - 2999 mAh,4.6 - 5 Inch,Plastic,2,5,2,Glass,2021,4G,No,No,2,,,,,,,,,,,,,,,,,,,,,,,
OnePlus Nord N20 SE 4GB Ram 64GB Rom 50mp,16/05/23,True,-0%,23500.0,23499.0,0.0,"[0, 0, 0, 0, 0]",,OnePlus,118400768_NP-1032434717,5000 - 5999 mAh,6.1 - 6.5 Inch,Not Specified,8mp,50mp+2mp,3,Not Specified,2022,4G,33w,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy M33 5G ,16/05/23,False,,35999.0,35999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,114782625_NP-1031189517,6000 - 6999 mAh,6.6 - 7 Inch,Ceramic,8 MP,50Mp,5,Not Specified,2022,5G,25W,No,2,,,,,,,,,,,,,,,,,,,,,,,
OnePlus 9 5G ,16/05/23,True,-1%,104999.0,103999.0,0.0,"[0, 0, 0, 0, 0]",,OnePlus,116554788_NP-1031958171,4000 - 4999 mAh,6.1 - 6.5 Inch,Glass,16,48+50+2,3,Corning Gorilla Glass 5,2021,"4G,3G,5G",yes,No,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,Yes,On-Screen,Not Specified,Not Specified,1080p,Android 11,Not Specified,oneplus 9 5g,No,AMOLED,Snapdragon 888,120 Hz,4K,
realme C30s ,16/05/23,True,-0.4%,13499.0,13449.0,0.0,"[0, 0, 0, 0, 0]",,RealMe,123196238_NP-1033473229,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5mp,8mp,2,Not Specified,2023,"4G,3G,2G",10w,No,2,,,,,,,,,,,,,,,,,,,,,,,
realme narzo 50 ,16/05/23,True,-0.4%,23999.0,23899.0,0.0,"[0, 0, 0, 0, 0]",,narzo by realme,117525718_NP-1032204877,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,16mp,50 mp,3,Corning Gorilla Glass 5,2022,"4G,3G,2G",33w,No,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Side Mounted,Yes,Shared,1080p,Android,Yes,narzo 50,Yes,IPS LCD,Helio G95,120 Hz,"HD,Full HD",
Nokia C1 1GB RAM 16GB ROM,16/05/23,False,,7999.0,7999.0,0.0,"[0, 0, 0, 0, 0]",,Nokia,112904054_NP-1030646981,2000 - 2999 mAh,5.1 - 5.5 Inch,Not Specified,5,5,1,Not Specified,,3G,N/A,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Vivo Y12s ,16/05/23,True,-3%,17999.0,17475.0,0.0,"[0, 0, 0, 0, 0]",,Vivo,105214581_NP-1026872646,Not Specified,6.1 - 6.5 Inch,Plastic,Not Specified,Not Specified,3,Glasstic,2020,3G,Yes,No,Not Specified,,,,,,,,,,,,,,Not Specified,Android 10,,,,,Not Specified,,,
OnePlus 8T 12,16/05/23,False,,85999.0,85999.0,0.0,"[0, 0, 0, 0, 0]",,OnePlus,120942092_NP-1033460573,4000 - 4999 mAh,6.1 - 6.5 Inch,Glass,16mp,48mp,5,Corning Gorilla Glass 5,2022,5G,yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy M33 5G ,16/05/23,False,,35999.0,35999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,123857420_NP-1033625159,6000 - 6999 mAh,6.6 - 7 Inch,Not Specified,8,50,4,Not Specified,2022,5G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung A04  4,16/05/23,False,,16999.0,16999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,123227883_NP-1033552687,5000 - 5999 mAh,6.1 - 6.5 Inch,Glass,5,50,3,Glass,2022,4G,5000mah battery,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
OnePlus 10T 5G  ,16/05/23,True,-0.4%,114999.0,114499.0,0.0,"[0, 0, 0, 0, 0]",,OnePlus,123770462_NP-1033605764,4000 - 4999 mAh,6.6 - 7 Inch,Glass,16mp,50 mp,4,Corning Gorilla Glass 5,2023,"4G,3G,2G,5G",yes 150w,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A03 Core ,16/05/23,False,,12800.0,12800.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,113292222_NP-1030794661,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5,8,2,Glass,2021,4G,No,No,2,,,,,,,,,,,,,,,,,,,,,,,
Realme C30 ,16/05/23,True,-7%,13499.0,12500.0,0.0,"[0, 0, 0, 0, 0]",,RealMe,118825022_NP-1032552058,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5MP,8MP AI,2,Glass,2022,"4G,GSM,3G,2G,3.5G - HSDPA",15W,No,2,200-300 PPI,Micro USB,Yes,Yes,Yes,Nano,No,Yes,Yes,No,No Fingerprint Sensor,Yes,Dedicated,1080p,Android,Yes,RMX3581,Yes,IPS LCD,Octa-core,,HD,
Oppo A16 ,16/05/23,False,,22990.0,22990.0,0.0,"[0, 0, 0, 0, 0]",,OPPO,113022544_NP-1032005169,5000 - 5999 mAh,6.1 - 6.5 Inch,Glass,8,13,4,Glass,2021,"4G,GSM",Yes,No,2,200-300 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Side Mounted,Yes,,1080p,Android,Yes,OPPO CPH2269,Yes,IPS LCD,Octa-core,60 Hz,"HD,Full HD",
Lava Benco V80  4GB RAM 64 GB ROM6,16/05/23,True,-0.7%,13599.0,13499.0,0.0,"[0, 0, 0, 0, 0]",,Lava,118656341_NP-1032510737,4000 - 4999 mAh,6.1 - 6.5 Inch,Plastic,8,8,1,Glass,2022,4G,10w,No,2,200-300 PPI,USB Type-B,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Rear,Yes,Dedicated,720p,Android 11,Not Specified,Lava Benco V80,Yes,TFT LCD,Quad-core,Not Specified,Others,
Nokia C20 2,16/05/23,False,,11499.0,11499.0,0.0,"[0, 0, 0, 0, 0]",,Nokia,112887940_NP-1030648856,4000 - 4999 mAh,6.1 - 6.5 Inch,Not Specified,5,5,1,Not Specified,Not Specified,4G,N/A,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Infinix Smart 6  ,16/05/23,False,,15500.0,15500.0,0.0,"[0, 0, 0, 0, 0]",,No Brand,125345779_NP-1034024254,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,5,8,3,Glass,2021,GSM,No,No,2,,,,,,,,,,,,,,,,,,,,,,,
OPPO A57 ,16/05/23,False,,23499.0,23499.0,0.0,"[0, 0, 0, 0, 0]",,OPPO,117579459_NP-1032235384,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,8,13,3,Glass,2022,"4G,GSM",33W,No,2,200-300 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,Yes,Side Mounted,Yes,Dedicated,1080p,Android,Yes,OPPO A57 4G,Yes,IPS LCD,Octa-core,60 Hz,"HD,Full HD",
Nokia G10 Triple Camera ,16/05/23,True,-14%,16999.0,14699.0,0.0,"[0, 0, 0, 0, 0]",,Nokia,124143153_NP-1033691165,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,13,8,3,Glass,2021,4G,yes,No,2,,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,,Side Mounted,,,Full HD,Nokia OS,,Nokia G10,Yes,,,,,
Narzo 50I Prime ,16/05/23,False,,15799.0,15799.0,0.0,"[0, 0, 0, 0, 0]",,narzo by realme,126152100_NP-1034183034,4000 - 4999 mAh,6.1 - 6.5 Inch,Plastic,5,8,2,Glass,2021,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy S20 Ultra ,16/05/23,False,,159999.0,159999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,104132502_NP-1024958828,Not Specified,6.1 - 6.5 Inch,Glass,,,5,Corning Gorilla Glass 6,2020,,Yes,Yes,,,,,,,,,,,,,,,Not Specified,Android,,,,,Not Specified,,,
Nokia 1,16/05/23,False,,13799.0,13799.0,0.0,"[0, 0, 0, 0, 0]",,Nokia,112888916_NP-1030650938,4000 - 4999 mAh,6.1 - 6.5 Inch,Not Specified,5,8,2,Not Specified,Not Specified,4G,N/A,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy M32 ,16/05/23,False,,28999.0,28999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,112988772_NP-1030703186,6000 - 6999 mAh,6.1 - 6.5 Inch,Plastic,20MP,64MP Primary 8MP Ultra Wide 2MP Depth&Macro,5,Glasstic,2021`,4G,25W,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A03s ,16/05/23,False,,15999.0,15999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,123204818_NP-1033468833,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5,13,4,Glass,2022,"4G,GSM,3G",10W,No,2,200-300 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Side Mounted,Yes,Dedicated,1080p,Android,Yes,A03S,Yes,LCD,Octa-core,60 Hz,"HD,Full HD",
Infinix HOT 12i ,16/05/23,False,,15599.0,15599.0,0.0,"[0, 0, 0, 0, 0]",,Infinix,119517624_NP-1032713530,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,8,13,2,Not Specified,2022,4G,,Yes,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A04s ,16/05/23,False,,21999.0,21999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,123852690_NP-1033625138,4000 - 4999 mAh,6.1 - 6.5 Inch,Not Specified,5,50,3,Not Specified,2022,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
vivo Y53S ,16/05/23,False,,34999.0,34999.0,0.0,"[0, 0, 0, 0, 0]",,Vivo,106872082_NP-1028346501,Not Specified,6.1 - 6.5 Inch,Plastic,Not Specified,Not Specified,4,Glasstic,2021,Not Specified,Yes,No,Not Specified,,,,,,,,,,,,,,Not Specified,Android,,,,,Helio G80,,,
Samsung Galaxy A23 ,16/05/23,False,,29999.0,29999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,114784014_NP-1031187623,5000 - 5999 mAh,6.6 - 7 Inch,,8 MP,50 MP,5,Not Specified,2022,4G,25W,No,2,,,,,,,,,,,,,,,,,,,,,,,
realme C30s ,16/05/23,False,,13499.0,13499.0,0.0,"[0, 0, 0, 0, 0]",,RealMe,120701431_NP-1032910688,4000 - 4999 mAh,6.1 - 6.5 Inch,Not Specified,5MP,8MP,2,Glass,2022,4G,Not specified,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A23 ,16/05/23,True,-7%,29999.0,27999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,126923575_NP-1034409605,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,8,50,4,Not Specified,Not Specified,"4G,3G,2G",25 Watt Fast Charging,No,2,,Type-C,Yes,Yes,Yes,,No,,,,,,,,,,,,,,,,
